title,price,option_suffix,sale_price,regular_price,regoptiondesc,saving,offer_valid,comparative_text,sale_option
Huggies Ultra Dry Nappies Pk 30-54,$17.00,,,$5.00,Save,$5.00,Offer valid Wed 16 Oct - Tue 22 Oct 2024,NA,NA
BabyLove Nappy Pants Pk 42-56,$24.00,,,$7.00,Save,$7.00,Offer valid Wed 16 Oct - Tue 22 Oct 2024,NA,NA
Little Bellies Melts 20g,$4.50,,,$2.00,Save,$2.00,Offer valid Wed 16 Oct - Tue 22 Oct 2024,$22.50 per 100g,NA
Macro Organic Baby Food Pouch 120g,$7.00,,,$1.00,Save,$1.00,Offer valid Wed 16 Oct - Tue 22 Oct 2024,$1.17 per 100g,Any 5 for
Huggies Baby Wipes Pk 400,$12.50,,,$5.50,Save,$5.50,Offer valid Wed 16 Oct - Tue 22 Oct 2024,$3.13 per 100 ea,NA
La Famiglia Garlic Slices 270g – From the Fridge,$3.25,,,$3.25,"1/2 Price, Save",$3.25,Offer valid Wed 16 Oct - Tue 22 Oct 2024,$1.20 per 100g,NA
Bread Roll Varieties Pk 6# – Excludes Jumbo & Brioche Roll Varieties,$2.85,,,NA,Everyday Low Price,NA,Offer valid Wed 16 Oct - Tue 22 Oct 2024,48¢ per ea,NA
Woolworths Australian Baked Fruit Mince Pies or Summer Berry Pies Pk 6,$5.50,,,NA,NA,NA,Offer valid Wed 16 Oct - Tue 22 Oct 2024,92¢ per ea,NA
Crafted Sourdough Seven Grains Loaf#,$7.00,,,$0.50,Save,$0.50,Offer valid Wed 16 Oct - Tue 22 Oct 2024,NA,NA
Mission Mini Wraps 384g Pk 8,$4.50,,,$1.00,Save,$1.00,Offer valid Wed 16 Oct - Tue 22 Oct 2024,$1.17 per 100g,NA
Woolworths Large Butter Croissant Pk 10#,$8.00,,,$1.00,Save,$1.00,Offer valid Wed 16 Oct - Tue 22 Oct 2024,80¢ per ea,NA
Plantitude Granola Cookies Pk 5,$3.50,,,$0.50,Save,$0.50,Offer valid Wed 16 Oct - Tue 22 Oct 2024,70¢ per ea,NA
Woolworths Lamingtons Pk 6-18,$3.70,,,NA,Everyday Low Price,NA,Offer valid Wed 16 Oct - Tue 22 Oct 2024,NA,NA
Jumbo Bread Roll Varieties Pk 6# – Excludes Jumbo Brioche Rolls,$3.20,,,NA,Everyday Low Price,NA,Offer valid Wed 16 Oct - Tue 22 Oct 2024,53¢ per ea,NA
Mission Wraps Soft & Fluffy 450g Pk 12,$4.50,,,NA,Everyday Low Price,NA,Offer valid Wed 16 Oct - Tue 22 Oct 2024,$1 per 100g,NA
Woolworths Muffins Pk 4 or 8,$4.90,,,NA,Everyday Low Price,NA,Offer valid Wed 16 Oct - Tue 22 Oct 2024,NA,NA
Global Bakehouse Value Garlic Bread 450g – From the Fridge,$2.30,,,NA,Everyday Low Price,NA,Offer valid Wed 16 Oct - Tue 22 Oct 2024,51¢ per 100g,NA
Tip Top Thins Varieties 200-240g Pk 6,$3.00,,,$3.90,Range was,$3.90,Offer valid Wed 16 Oct - Tue 22 Oct 2024,NA,NA
Mission Pita Pockets 420g,$3.50,,,$4.40,Range was,$4.40,Offer valid Wed 16 Oct - Tue 22 Oct 2024,83¢ per 100g,NA
Woolworths Pumpkin Spice Mudcake 600g,$7.00,,,NA,NA,NA,Offer valid Wed 16 Oct - Tue 22 Oct 2024,$1.17 per 100g,NA
Mini Scroll Varieties Pk 6#,$4.50,,,$0.50,Save,$0.50,Offer valid Wed 16 Oct - Tue 22 Oct 2024,75¢ per ea,NA
Dolce Segreto Mini Panettone 100g,$5.00,,,NA,NA,NA,Offer valid Wed 16 Oct - Tue 22 Oct 2024,$5 per 100g,NA
Dolce Segreto Mini Choc Chip Panettone 100g,$5.00,,,NA,NA,NA,Offer valid Wed 16 Oct - Tue 22 Oct 2024,$5 per 100g,NA
Dolce Segreto Mini Pandoro 80g,$5.00,,,NA,NA,NA,Offer valid Wed 16 Oct - Tue 22 Oct 2024,$6.25 per 100g,NA
Dolce Segreto Traditional Panettone 900g,$16.50,,,NA,NA,NA,Offer valid Wed 16 Oct - Tue 22 Oct 2024,$1.83 per 100g,NA
Dolce Segreto Choc Chip Panettone 750g,$18.00,,,NA,NA,NA,Offer valid Wed 16 Oct - Tue 22 Oct 2024,$2.40 per 100g,NA
Dolce Segreto Pandoro 1 kg,$19.00,,,NA,NA,NA,Offer valid Wed 16 Oct - Tue 22 Oct 2024,$1.90 per 100g,NA
Woolworths Wholegrain Wraps 360g Pk 8,$2.40,,,NA,Everyday Low Price,NA,Offer valid Wed 16 Oct - Tue 22 Oct 2024,67¢ per 100g,NA
Betty Crocker Cake Mixes 370g or 450g – Excludes Gluten Free,$3.80,,,$2.20,Save,$2.20,Offer valid Wed 16 Oct - Tue 22 Oct 2024,NA,NA
Betty Crocker Treats Baking Mixes 310-510g – Excludes Gluten Free,$4.50,,,$2.50,Save,$2.50,Offer valid Wed 16 Oct - Tue 22 Oct 2024,NA,NA
Nivea Rich Nourishing Body Lotion 400ml,$4.75,,,$4.75,"1/2 Price, Save",$4.75,Offer valid Wed 16 Oct - Tue 22 Oct 2024,$1.19 per 100ml,NA
Nivea Protect & Moisture Lock SPF50+ Sunscreen Lotion 100ml†,$7.50,,,$7.50,"1/2 Price, Save",$7.50,Offer valid Wed 16 Oct - Tue 22 Oct 2024,$7.50 per 100ml,NA
Nivea Hydro Care Lip Balm with SPF15 4.8g†,$2.50,,,$2.50,"1/2 Price, Save",$2.50,Offer valid Wed 16 Oct - Tue 22 Oct 2024,$5.21 per 10g,NA
Nivea Antiperspirant Roll On Deodorant 50ml,$2.50,,,$2.50,"1/2 Price, Save",$2.50,Offer valid Wed 16 Oct - Tue 22 Oct 2024,$5 per 100ml,NA
